"","X","stock.id","species","stock","region","sub.region","brood.yr","spawners","recruits","entry.yr","ln.rs","long","lat","loc.sst","our.region"
"523",523,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2005,799612,5247372,2007,1.88135604881201,157.6,57.5,-0.32429724005948,"EBS"
"524",524,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2006,1003158,3422304,2008,1.22716098447029,157.6,57.5,-0.306360318588576,"EBS"
"525",525,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2007,2599186,3139216,2009,0.188774768130329,157.6,57.5,-0.3014220678519,"EBS"
"526",526,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2008,596332,3012605,2010,1.61976287301114,157.6,57.5,-0.18041865499513,"EBS"
"527",527,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2009,1364338,1378317,2011,0.0101938603665866,157.6,57.5,-0.503309687595021,"EBS"
"528",528,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2010,830886,4179575,2012,1.61547224437911,157.6,57.5,-0.20319918836449,"EBS"
"533",533,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1963,721404,1632832,1965,0.816871896311634,158.62,58.82,-0.504813064341865,"EBS"
"534",534,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1964,1076112,1286899,1966,0.178880902914009,158.62,58.82,-0.0520134999205233,"EBS"
"535",535,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1965,675156,2021714,1967,1.09675717017993,158.62,58.82,-0.337594524916948,"EBS"
"536",536,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1966,1208682,2290776,1968,0.639360115053694,158.62,58.82,-0.30844661477253,"EBS"
"537",537,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1967,515772,1054258,1969,0.714927673563471,158.62,58.82,-0.265908205999404,"EBS"
"538",538,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1968,649344,1154363,1970,0.575341333159786,158.62,58.82,-0.910505212563962,"EBS"
"539",539,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1969,604338,989845,1971,0.493414721149739,158.62,58.82,-1.2928824976535,"EBS"
"540",540,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1970,1161964,2648098,1972,0.823729969570717,158.62,58.82,-0.94121201354128,"EBS"
"541",541,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1971,851202,1425137,1973,0.515373760223761,158.62,58.82,-0.395652336578285,"EBS"
"542",542,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1972,430602,1338674,1974,1.13425062117478,158.62,58.82,-0.721659570410835,"EBS"
"543",543,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1973,330474,1460257,1975,1.48583973909525,158.62,58.82,-0.506258513828452,"EBS"
"544",544,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1974,1708836,5893427,1976,1.23802522510269,158.62,58.82,-0.00762491233021035,"EBS"
"545",545,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1975,1270116,6290685,1977,1.59996173292145,158.62,58.82,0.309133841428234,"EBS"
"546",546,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1976,817008,6590532,1978,2.08774046588079,158.62,58.82,0.818851394572952,"EBS"
"547",547,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1977,561828,3824311,1979,1.91793784608737,158.62,58.82,0.184573303662962,"EBS"
"548",548,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1978,2267238,3117204,1980,0.318374095613327,158.62,58.82,0.499889438814952,"EBS"
"549",549,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1979,1706352,4154665,1981,0.889874040920728,158.62,58.82,-0.119583575653835,"EBS"
"550",550,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1980,2969040,1471790,1982,-0.701759321154683,158.62,58.82,0.307336793028096,"EBS"
"551",551,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1981,1233318,2231911,1983,0.593150070699729,158.62,58.82,0.544068011771642,"EBS"
"552",552,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1982,976470,2085368,1984,0.758756589581182,158.62,58.82,0.158079234200536,"EBS"
"553",553,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1983,1360968,3326749,1985,0.893799339578521,158.62,58.82,0.505180096848095,"EBS"
"554",554,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1984,1002792,2218817,1986,0.794186061361127,158.62,58.82,0.732521967347118,"EBS"
"555",555,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1985,939000,3304162,1987,1.2581226857076,158.62,58.82,0.830783634591822,"EBS"
"556",556,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1986,818652,4176300,1988,1.62952188093364,158.62,58.82,0.535216537362301,"EBS"
"557",557,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1987,1337172,2897910,1989,0.773432851447148,158.62,58.82,0.349475362243908,"EBS"
"558",558,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1988,866778,3978864,1990,1.52396874177128,158.62,58.82,0.262951352764612,"EBS"
"559",559,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1989,1186410,5106286,1991,1.45954038911844,158.62,58.82,-0.0168251917024436,"EBS"
"560",560,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1990,1069440,3555674,1992,1.20140949042382,158.62,58.82,0.626687049164289,"EBS"
"561",561,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1991,1159920,6110262,1993,1.66161861556509,158.62,58.82,0.542674952098272,"EBS"
"562",562,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1992,1286250,4539117,1994,1.26100149157877,158.62,58.82,0.299881368679974,"EBS"
"563",563,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1993,1176126,3267335,1995,1.0217486813249,158.62,58.82,0.438886313980685,"EBS"
"564",564,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1994,1471890,5887324,1996,1.3862542757993,158.62,58.82,0.571514637279453,"EBS"
"565",565,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1995,1482162,7844734,1997,1.66634064602235,158.62,58.82,0.477244019299986,"EBS"
"566",566,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1996,1649598,7529942,1998,1.5183557173942,158.62,58.82,-0.0763432333973569,"EBS"
"567",567,NA,"Sockeye","Wood","Bristol Bay","Bristol Bay North",1997,1512396,1237315,1999,-0.200751438892451,158.62,58.82,-0.0863025862094036,"EBS"
