"","stock.id","species","even.odd","stock","full.stock","GOA","region","sub.region","brood.yr","spawners","recruits","use","entry.yr","ln.rs","long","lat","loc.sst","w.sst.1","w.sst.2","our.region","npgo2","npgo","pdo2","pdo"
"73",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",2003,1392568,498797,1,2004,-1.02670560429011,122.2072,48.02139,1.16169699453957,1.35067821687885,0.723631511905317,"South",-0.464171268,0.285037166,0.418,0.474
"74",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",2005,482245,1185255,1,2006,0.899260936626896,122.2072,48.02139,0.264483822319271,0.418551046723898,0.427469317392637,"South",-0.758846913,-1.06771915,0.005,0.088
"75",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",2007,1143695,2403012,1,2008,0.742458701480003,122.2072,48.02139,-1.63825734767422,-0.325924125125456,-0.792643061828135,"South",0.863160237,0.850322508,-1.08,-0.828
"76",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1959,40000,82702,1,1960,0.726364331420142,123.1333,48.1508,0.00814518895707034,0.898903625844711,0.910774697183566,"South",0.93745374,0.61460857,0.342,0.356
"77",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1961,70000,638063,1,1962,2.20994178250186,123.1333,48.1508,-0.256724327039288,1.09707435759388,0.522109819958372,"South",-0.12433509,0.00705286,-1.076,-1.68
"78",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1963,400000,99766,1,1964,-1.38863710319837,123.1333,48.1508,-0.706559759804952,1.12202829518128,0.866329647941501,"South",-0.007529911,0.583830606,-0.891,-0.846
"79",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1965,75000,201085,1,1966,0.986239590704002,123.1333,48.1508,-0.0862264843720268,-0.736035075763483,-0.234831069270775,"South",-0.809721169,-0.829702192,-0.572,-0.534
"80",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1967,95000,20071,1,1968,-1.55460090442318,123.1333,48.1508,-0.296135039731987,-0.279599625946803,-0.236215430086526,"South",-0.796891715,-0.568987534,-0.653,-0.422
"81",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1969,14400,61248,1,1970,1.44770298924853,123.1333,48.1508,-0.24106231854463,-1.39901587678386,-0.464663045326708,"South",0.0186527205,0.032071858,-0.319,0.78
"82",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1971,46000,71212,1,1972,0.437019947053521,123.1333,48.1508,-0.833594621371464,-1.15547442522778,-1.59162935102058,"South",-0.3421108,-0.295710623,-1.036,-1.806
"83",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1973,47000,35802,1,1974,-0.272143843942059,123.1333,48.1508,-1.11317514742069,-0.845574250311942,-1.17102599650106,"South",0.1908359155,-0.237943949,-0.809,-1.268
"84",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1975,24300,64885,1,1976,0.982140121842691,123.1333,48.1508,-1.12678874609086,-0.247372008291975,-0.729622270861904,"South",1.41536357,1.25881028,-0.169,-1.528
"85",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1977,35700,115840,1,1978,1.17705923985181,123.1333,48.1508,0.533324775848834,1.20162241740512,0.677539431328524,"South",0.262731659,1.07569398,-0.039,0.344
"86",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1979,50100,4987,1,1980,-2.30718648152683,123.1333,48.1508,-0.274533681293696,-0.779635750242234,-0.344919434401912,"South",-0.823966005,-1.161953614,0.567,0.472
"87",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1981,2900,5692,1,1982,0.674350943235178,123.1333,48.1508,-0.737269079454531,0.651887438912999,0.177651703832671,"South",-0.000825666000000003,-0.08333229,0.602,0.44
"88",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1983,4888,6590,1,1984,0.298770126645122,123.1333,48.1508,-0.224456374521123,0.379022546423552,0.369353530984145,"South",0.239340204,0.157586876,1.15,1.438
"89",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1985,4730,2309,1,1986,-0.717110672131483,123.1333,48.1508,0.0547009298856068,-0.55298295055622,-0.673153596746119,"South",-0.537648356,-1.231724686,1.381,0.908
"90",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1987,1906,15710,1,1988,2.10929064703552,123.1333,48.1508,0.195639567762067,0.841178580966229,0.695736307659983,"South",0.898568807,0.816804682,0.308,1.266
"91",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1989,10902,13918,1,1990,0.244236707780569,123.1333,48.1508,0.124130980820754,-0.808353068000749,-0.45461151024743,"South",-0.395936969,0.033625196,-1.015,-0.456
"92",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1991,9895,1857,1,1992,-1.67306729668396,123.1333,48.1508,1.66102247421373,-0.523165089436313,0.155877804561086,"South",-1.101862623,-0.233910026,0.4,0.308
"93",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1993,1695,9534,1,1994,1.72718161595022,123.1333,48.1508,0.699718356778464,0.261205027145898,0.57073627000467,"South",-1.750743963,-2.13753798,0.188,0.982
"94",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1995,8252,5634,1,1996,-0.381635925754824,123.1333,48.1508,0.0755012942244327,0.195598507047483,0.489466016433336,"South",-0.872874358,-0.580462,0.345,0.446
"95",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1997,4935,7312,1,1998,0.393164161266404,123.1333,48.1508,1.46833955928575,-0.200447106051677,0.884888521630764,"South",1.060346525,0.75120027,0.392,1.238
"96",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",1999,7306,81470,1,2000,2.41153892594946,123.1333,48.1508,0.611235228326711,0.322614016462724,0.0952684603335079,"South",2.04370374,1.6101386,-0.489,-1.244
"97",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",2001,80344,15433,1,2002,-1.64980934217234,123.1333,48.1508,-0.603860835062218,0.0463405865112615,-0.31660970616004,"South",1.847202098,1.94475968,0.597,-0.598
"98",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",2003,15116,8747,1,2004,-0.547043001049525,123.1333,48.1508,1.16169699453957,1.35067821687885,0.723631511905317,"South",-0.464171268,0.285037166,0.418,0.474
"99",204,"Pink","O","Dungeness","Dungeness.O",0,"Inside WA","Inside WA",2005,8667,6352,1,2006,-0.310752986207373,123.1333,48.1508,0.264483822319271,0.418551046723898,0.427469317392637,"South",-0.758846913,-1.06771915,0.005,0.088
