"","region","stock","brood.yr","spawners","recruits","entry.yr","long","lat","loc.sst","w.sst.3","w.sst.2","w.sst.1"
"180","South","Bowron",2002,4505,7674,2004,123.06,49.12,0.775871327325772,0.566845767869521,0.302368354547365,0.261987647741003
"181","South","Bowron",2003,3038,3792,2005,123.06,49.12,0.57790029239968,0.364210824905762,0.415322413488141,0.342749061353728
"182","South","Bowron",2004,458,6079,2006,123.06,49.12,-0.0383966120791499,0.162261392878196,0.0720175586404294,0.487895765622555
"183","South","Bowron",2005,866,2251,2007,123.06,49.12,-0.333885072311229,-0.343967900074746,-0.759899732923397,-0.343860648341695
"184","South","Bowron",2006,636,17412,2008,123.06,49.12,-1.21987946263742,-0.911175916791322,-1.19483355101614,-1.1759388175051
"185","GOA","Chignik",1960,357230,382423,1962,158.64,56.28,-0.322957924316407,0.0783352708207836,0.163361729541339,-0.224613046951298
"186","GOA","Chignik",1961,254970,544458,1963,158.64,56.28,0.10455979440452,0.351077731929115,0.638923121369322,0.551336506033977
"187","GOA","Chignik",1962,324860,813689,1964,158.64,56.28,-0.477221162995506,0.0200709256396083,-0.245561864557576,0.726509736704668
"188","GOA","Chignik",1963,200314,424937,1965,158.64,56.28,-0.589061177069763,-0.292410802702395,-0.801871072405926,-1.21763346581982
"189","GOA","Chignik",1964,166625,250233,1966,158.64,56.28,-0.69395037117252,-0.74912080842234,-0.514864479723601,-0.386108678992033
"190","GOA","Chignik",1965,163151,964359,1967,158.64,56.28,-0.0397350164146317,-0.407421503842235,-0.418077916267335,-0.643620280455169
"191","GOA","Chignik",1966,183525,757845,1968,158.64,56.28,-0.370293487196124,-0.747424334028175,-0.799326360814678,-0.192535552079502
"192","GOA","Chignik",1967,189000,569188,1969,158.64,56.28,-0.0101752855057557,-0.357070352176688,-0.439337752225281,-1.40611716954985
"193","GOA","Chignik",1968,244836,742226,1970,158.64,56.28,-0.225423938317828,-0.448315323263965,0.03058559987898,0.527441665099292
"194","GOA","Chignik",1969,132055,816992,1971,158.64,56.28,-1.5352726917344,-0.599502408365907,-1.16297444509851,-0.466270465341332
"195","GOA","Chignik",1970,119952,636444,1972,158.64,56.28,-1.43797688638055,-1.13310599000022,-1.46652375232966,-1.85967842485568
"196","GOA","Chignik",1971,232501,2279880,1973,158.64,56.28,-1.12289776397937,-1.34471641424599,-1.08723540894114,-1.07336907980364
